"Police.Service","Period","Total.Cases","Firearm.Injuries","Firearm.Deaths","Custody.Injuries","Custody.Deaths","Vehicle.Injuries","Vehicle.Deaths","Sexual.Assault.Complaints","Other","Year","muniName","Population.2006","Population.2011","Pop.density"
"OPP Ear Falls Detachment","2008-2009",0,NA,NA,NA,NA,NA,NA,NA,NA,2009,"Ear Falls",NA,"1,026","3.1"
"OPP Ear Falls Detachment","2007-2008",0,NA,NA,NA,NA,NA,NA,NA,NA,2008,"Ear Falls",NA,"1,026","3.1"
"OPP Ear Falls Detachment","2006-2007",0,NA,NA,NA,NA,NA,NA,NA,NA,2007,"Ear Falls",NA,"1,026","3.1"
"OPP Ear Falls Detachment","2005-2006",0,NA,NA,NA,NA,NA,NA,NA,NA,2006,"Ear Falls",NA,"1,026","3.1"
"OPP East Algoma Detachment","2013-2014",1,NA,NA,1,NA,NA,NA,NA,NA,2014,NA,NA,NA,NA
"OPP East Algoma Detachment","2012-2013",0,NA,NA,NA,NA,NA,NA,NA,NA,2013,NA,NA,NA,NA
"OPP East Algoma Detachment","2011-2012",0,NA,NA,NA,NA,NA,NA,NA,NA,2012,NA,NA,NA,NA
"OPP East Algoma Detachment","2010-2011",0,NA,NA,NA,NA,NA,NA,NA,NA,2011,NA,NA,NA,NA
"OPP East Algoma Detachment","2009-2010",0,NA,NA,NA,NA,NA,NA,NA,NA,2010,NA,NA,NA,NA
"OPP East Algoma Detachment","2008-2009",0,NA,NA,NA,NA,NA,NA,NA,NA,2009,NA,NA,NA,NA
"OPP East Algoma Detachment","2007-2008",1,NA,NA,NA,NA,NA,NA,1,NA,2008,NA,NA,NA,NA
"OPP East Algoma Detachment","2006-2007",0,NA,NA,NA,NA,NA,NA,NA,NA,2007,NA,NA,NA,NA
"OPP East Algoma Detachment","2005-2006",0,NA,NA,NA,NA,NA,NA,NA,NA,2006,NA,NA,NA,NA
"OPP East Algoma Detachment (Blind River)","2013-2014",0,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Blind River","3,780","3,549","6.7"
"OPP East Algoma Detachment (Blind River)","2012-2013",0,NA,NA,NA,NA,NA,NA,NA,NA,2013,"Blind River","3,780","3,549","6.7"
"OPP East Algoma Detachment (Blind River)","2011-2012",1,NA,NA,1,NA,NA,NA,NA,NA,2012,"Blind River","3,780","3,549","6.7"
"OPP East Algoma Detachment (Blind River)","2010-2011",0,NA,NA,NA,NA,NA,NA,NA,NA,2011,"Blind River","3,780","3,549","6.7"
"OPP East Algoma Detachment (Blind River)","2009-2010",0,NA,NA,NA,NA,NA,NA,NA,NA,2010,"Blind River","3,780","3,549","6.7"
"OPP East Algoma Detachment (Blind River)","2008-2009",0,NA,NA,NA,NA,NA,NA,NA,NA,2009,"Blind River","3,780","3,549","6.7"
"OPP East Algoma Detachment (Blind River)","2007-2008",0,NA,NA,NA,NA,NA,NA,NA,NA,2008,"Blind River","3,780","3,549","6.7"
"OPP East Algoma Detachment (Blind River)","2006-2007",0,NA,NA,NA,NA,NA,NA,NA,NA,2007,"Blind River","3,780","3,549","6.7"
"OPP East Algoma Detachment (Blind River)","2005-2006",0,NA,NA,NA,NA,NA,NA,NA,NA,2006,"Blind River","3,780","3,549","6.7"
"OPP East Algoma Detachment (Elliot Lake)","2013-2014",0,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Elliot Lake","11,549","11,348","15.9"
"OPP East Algoma Detachment (Elliot Lake)","2012-2013",0,NA,NA,NA,NA,NA,NA,NA,NA,2013,"Elliot Lake","11,549","11,348","15.9"
"OPP East Algoma Detachment (Elliot Lake)","2011-2012",0,NA,NA,NA,NA,NA,NA,NA,NA,2012,"Elliot Lake","11,549","11,348","15.9"
"OPP East Algoma Detachment (Elliot Lake)","2010-2011",0,NA,NA,NA,NA,NA,NA,NA,NA,2011,"Elliot Lake","11,549","11,348","15.9"
"OPP East Algoma Detachment (Elliot Lake)","2009-2010",0,NA,NA,NA,NA,NA,NA,NA,NA,2010,"Elliot Lake","11,549","11,348","15.9"
"OPP East Algoma Detachment (Elliot Lake)","2008-2009",0,NA,NA,NA,NA,NA,NA,NA,NA,2009,"Elliot Lake","11,549","11,348","15.9"
"OPP East Algoma Detachment (Elliot Lake)","2007-2008",0,NA,NA,NA,NA,NA,NA,NA,NA,2008,"Elliot Lake","11,549","11,348","15.9"
"OPP East Algoma Detachment (Elliot Lake)","2006-2007",0,NA,NA,NA,NA,NA,NA,NA,NA,2007,"Elliot Lake","11,549","11,348","15.9"
"OPP East Algoma Detachment (Elliot Lake)","2005-2006",0,NA,NA,NA,NA,NA,NA,NA,NA,2006,"Elliot Lake","11,549","11,348","15.9"
"OPP East Algoma Detachment (Thessalon)","2013-2014",0,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Thessalon","1,312","1,279","292.4"
"OPP East Algoma Detachment (Thessalon)","2012-2013",0,NA,NA,NA,NA,NA,NA,NA,NA,2013,"Thessalon","1,312","1,279","292.4"
"OPP East Algoma Detachment (Thessalon)","2011-2012",0,NA,NA,NA,NA,NA,NA,NA,NA,2012,"Thessalon","1,312","1,279","292.4"
"OPP East Algoma Detachment (Thessalon)","2010-2011",0,NA,NA,NA,NA,NA,NA,NA,NA,2011,"Thessalon","1,312","1,279","292.4"
"OPP East Algoma Detachment (Thessalon)","2009-2010",0,NA,NA,NA,NA,NA,NA,NA,NA,2010,"Thessalon","1,312","1,279","292.4"
"OPP East Algoma Detachment (Thessalon)","2008-2009",0,NA,NA,NA,NA,NA,NA,NA,NA,2009,"Thessalon","1,312","1,279","292.4"
"OPP East Algoma Detachment (Thessalon)","2007-2008",0,NA,NA,NA,NA,NA,NA,NA,NA,2008,"Thessalon","1,312","1,279","292.4"
"OPP East Algoma Detachment (Thessalon)","2006-2007",0,NA,NA,NA,NA,NA,NA,NA,NA,2007,"Thessalon","1,312","1,279","292.4"
"OPP East Algoma Detachment (Thessalon)","2005-2006",0,NA,NA,NA,NA,NA,NA,NA,NA,2006,"Thessalon","1,312","1,279","292.4"
"OPP Eastern Region Headquarters","2013-2014",0,NA,NA,NA,NA,NA,NA,NA,NA,2014,NA,NA,NA,NA
"OPP Eastern Region Headquarters","2012-2013",0,NA,NA,NA,NA,NA,NA,NA,NA,2013,NA,NA,NA,NA
"OPP Eastern Region Headquarters","2011-2012",0,NA,NA,NA,NA,NA,NA,NA,NA,2012,NA,NA,NA,NA
"OPP Eastern Region Headquarters","2010-2011",0,NA,NA,NA,NA,NA,NA,NA,NA,2011,NA,NA,NA,NA
"OPP Eastern Region Headquarters","2009-2010",0,NA,NA,NA,NA,NA,NA,NA,NA,2010,NA,NA,NA,NA
"OPP Eastern Region Headquarters","2008-2009",0,NA,NA,NA,NA,NA,NA,NA,NA,2009,NA,NA,NA,NA
"OPP Eastern Region Headquarters","2007-2008",0,NA,NA,NA,NA,NA,NA,NA,NA,2008,NA,NA,NA,NA
"OPP Eastern Region Headquarters","2006-2007",0,NA,NA,NA,NA,NA,NA,NA,NA,2007,NA,NA,NA,NA
"OPP Eastern Region Headquarters","2005-2006",0,NA,NA,NA,NA,NA,NA,NA,NA,2006,NA,NA,NA,NA
"OPP Elgin County Detachment","2013-2014",1,NA,NA,1,NA,NA,NA,NA,NA,2014,"Elgin County",NA,"49,556","26.9"
"OPP Elgin County Detachment","2012-2013",0,NA,NA,NA,NA,NA,NA,NA,NA,2013,"Elgin County",NA,"49,556","26.9"
"OPP Elgin County Detachment","2011-2012",1,NA,NA,NA,NA,1,NA,NA,NA,2012,"Elgin County",NA,"49,556","26.9"
"OPP Elgin County Detachment","2010-2011",0,NA,NA,NA,NA,NA,NA,NA,NA,2011,"Elgin County",NA,"49,556","26.9"
"OPP Elgin County Detachment","2009-2010",1,NA,NA,NA,NA,NA,1,NA,NA,2010,"Elgin County",NA,"49,556","26.9"
"OPP Elgin County Detachment","2008-2009",0,NA,NA,NA,NA,NA,NA,NA,NA,2009,"Elgin County",NA,"49,556","26.9"
"OPP Elgin County Detachment","2007-2008",0,NA,NA,NA,NA,NA,NA,NA,NA,2008,"Elgin County",NA,"49,556","26.9"
"OPP Elgin County Detachment","2006-2007",1,NA,NA,NA,NA,1,NA,NA,NA,2007,"Elgin County",NA,"49,556","26.9"
"OPP Elgin County Detachment","2005-2006",1,NA,NA,1,NA,NA,NA,NA,NA,2006,"Elgin County",NA,"49,556","26.9"
"OPP Elgin Detachment","2013-2014",0,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Elgin County","49,241","49,556","26.3469615609549"
"OPP Elgin Detachment","2012-2013",0,NA,NA,NA,NA,NA,NA,NA,NA,2013,"Elgin County","49,241","49,556","26.3469615609549"
"OPP Elgin Detachment","2011-2012",0,NA,NA,NA,NA,NA,NA,NA,NA,2012,"Elgin County","49,241","49,556","26.3469615609549"
"OPP Elgin Detachment","2010-2011",0,NA,NA,NA,NA,NA,NA,NA,NA,2011,"Elgin County","49,241","49,556","26.3469615609549"
"OPP Elgin Detachment","2009-2010",0,NA,NA,NA,NA,NA,NA,NA,NA,2010,"Elgin County","49,241","49,556","26.3469615609549"
"OPP Elgin Detachment","2008-2009",1,NA,NA,NA,NA,1,NA,NA,NA,2009,"Elgin County","49,241","49,556","26.3469615609549"
"OPP Elgin Detachment","2007-2008",0,NA,NA,NA,NA,NA,NA,NA,NA,2008,"Elgin County","49,241","49,556","26.3469615609549"
"OPP Elgin Detachment","2006-2007",0,NA,NA,NA,NA,NA,NA,NA,NA,2007,"Elgin County","49,241","49,556","26.3469615609549"
"OPP Elgin Detachment","2005-2006",0,NA,NA,NA,NA,NA,NA,NA,NA,2006,"Elgin County","49,241","49,556","26.3469615609549"
"OPP Elk Lake Detachment","2013-2014",0,NA,NA,NA,NA,NA,NA,NA,NA,2014,"James",NA,"424","4.9"
"OPP Elk Lake Detachment","2012-2013",0,NA,NA,NA,NA,NA,NA,NA,NA,2013,"James",NA,"424","4.9"
"OPP Elk Lake Detachment","2011-2012",0,NA,NA,NA,NA,NA,NA,NA,NA,2012,"James",NA,"424","4.9"
"OPP Elk Lake Detachment","2010-2011",0,NA,NA,NA,NA,NA,NA,NA,NA,2011,"James",NA,"424","4.9"
"OPP Elk Lake Detachment","2009-2010",0,NA,NA,NA,NA,NA,NA,NA,NA,2010,"James",NA,"424","4.9"
"OPP Elk Lake Detachment","2008-2009",0,NA,NA,NA,NA,NA,NA,NA,NA,2009,"James",NA,"424","4.9"
"OPP Elk Lake Detachment","2007-2008",0,NA,NA,NA,NA,NA,NA,NA,NA,2008,"James",NA,"424","4.9"
"OPP Elk Lake Detachment","2006-2007",0,NA,NA,NA,NA,NA,NA,NA,NA,2007,"James",NA,"424","4.9"
"OPP Elk Lake Detachment","2005-2006",0,NA,NA,NA,NA,NA,NA,NA,NA,2006,"James",NA,"424","4.9"
"OPP Elliot Lake Detachment","2013-2014",0,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Elliot Lake","11,549","11,348","15.9"
"OPP Elliot Lake Detachment","2012-2013",0,NA,NA,NA,NA,NA,NA,NA,NA,2013,"Elliot Lake","11,549","11,348","15.9"
"OPP Elliot Lake Detachment","2011-2012",0,NA,NA,NA,NA,NA,NA,NA,NA,2012,"Elliot Lake","11,549","11,348","15.9"
"OPP Elliot Lake Detachment","2010-2011",0,NA,NA,NA,NA,NA,NA,NA,NA,2011,"Elliot Lake","11,549","11,348","15.9"
"OPP Elliot Lake Detachment","2009-2010",1,NA,NA,NA,1,NA,NA,NA,NA,2010,"Elliot Lake","11,549","11,348","15.9"
"OPP Elliot Lake Detachment","2008-2009",0,NA,NA,NA,NA,NA,NA,NA,NA,2009,"Elliot Lake","11,549","11,348","15.9"
"OPP Elliot Lake Detachment","2007-2008",1,1,NA,NA,NA,NA,NA,NA,NA,2008,"Elliot Lake","11,549","11,348","15.9"
"OPP Elliot Lake Detachment","2006-2007",0,NA,NA,NA,NA,NA,NA,NA,NA,2007,"Elliot Lake","11,549","11,348","15.9"
"OPP Elliot Lake Detachment","2005-2006",0,NA,NA,NA,NA,NA,NA,NA,NA,2006,"Elliot Lake","11,549","11,348","15.9"
"OPP Emo Detachment","2013-2014",0,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Emo",NA,"1,252","6.2"
"OPP Emo Detachment","2012-2013",0,NA,NA,NA,NA,NA,NA,NA,NA,2013,"Emo",NA,"1,252","6.2"
"OPP Emo Detachment","2011-2012",0,NA,NA,NA,NA,NA,NA,NA,NA,2012,"Emo",NA,"1,252","6.2"
"OPP Emo Detachment","2010-2011",0,NA,NA,NA,NA,NA,NA,NA,NA,2011,"Emo",NA,"1,252","6.2"
"OPP Emo Detachment","2009-2010",0,NA,NA,NA,NA,NA,NA,NA,NA,2010,"Emo",NA,"1,252","6.2"
"OPP Emo Detachment","2008-2009",0,NA,NA,NA,NA,NA,NA,NA,NA,2009,"Emo",NA,"1,252","6.2"
"OPP Emo Detachment","2007-2008",0,NA,NA,NA,NA,NA,NA,NA,NA,2008,"Emo",NA,"1,252","6.2"
"OPP Emo Detachment","2006-2007",0,NA,NA,NA,NA,NA,NA,NA,NA,2007,"Emo",NA,"1,252","6.2"
"OPP Emo Detachment","2005-2006",0,NA,NA,NA,NA,NA,NA,NA,NA,2006,"Emo",NA,"1,252","6.2"
"OPP Englehart Detachment","2013-2014",0,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Englehart","1,494","1,519","499.9"
"OPP Englehart Detachment","2012-2013",0,NA,NA,NA,NA,NA,NA,NA,NA,2013,"Englehart","1,494","1,519","499.9"
"OPP Englehart Detachment","2011-2012",0,NA,NA,NA,NA,NA,NA,NA,NA,2012,"Englehart","1,494","1,519","499.9"
"OPP Englehart Detachment","2010-2011",0,NA,NA,NA,NA,NA,NA,NA,NA,2011,"Englehart","1,494","1,519","499.9"
"OPP Englehart Detachment","2009-2010",0,NA,NA,NA,NA,NA,NA,NA,NA,2010,"Englehart","1,494","1,519","499.9"
"OPP Englehart Detachment","2008-2009",0,NA,NA,NA,NA,NA,NA,NA,NA,2009,"Englehart","1,494","1,519","499.9"
"OPP Englehart Detachment","2007-2008",0,NA,NA,NA,NA,NA,NA,NA,NA,2008,"Englehart","1,494","1,519","499.9"
"OPP Englehart Detachment","2006-2007",0,NA,NA,NA,NA,NA,NA,NA,NA,2007,"Englehart","1,494","1,519","499.9"
"OPP Englehart Detachment","2005-2006",0,NA,NA,NA,NA,NA,NA,NA,NA,2006,"Englehart","1,494","1,519","499.9"
"OPP Espanola Detachment","2013-2014",0,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Espanola","5,314","5,364","65.1"
"OPP Espanola Detachment","2012-2013",1,NA,NA,1,NA,NA,NA,NA,NA,2013,"Espanola","5,314","5,364","65.1"
"OPP Espanola Detachment","2011-2012",0,NA,NA,NA,NA,NA,NA,NA,NA,2012,"Espanola","5,314","5,364","65.1"
"OPP Espanola Detachment","2010-2011",0,NA,NA,NA,NA,NA,NA,NA,NA,2011,"Espanola","5,314","5,364","65.1"
"OPP Espanola Detachment","2009-2010",0,NA,NA,NA,NA,NA,NA,NA,NA,2010,"Espanola","5,314","5,364","65.1"
"OPP Espanola Detachment","2008-2009",0,NA,NA,NA,NA,NA,NA,NA,NA,2009,"Espanola","5,314","5,364","65.1"
"OPP Espanola Detachment","2007-2008",0,NA,NA,NA,NA,NA,NA,NA,NA,2008,"Espanola","5,314","5,364","65.1"
"OPP Espanola Detachment","2006-2007",0,NA,NA,NA,NA,NA,NA,NA,NA,2007,"Espanola","5,314","5,364","65.1"
"OPP Espanola Detachment","2005-2006",0,NA,NA,NA,NA,NA,NA,NA,NA,2006,"Espanola","5,314","5,364","65.1"
"OPP Essex County Detachment","2013-2014",1,NA,NA,NA,NA,NA,1,NA,NA,2014,"Essex","20,032","19,600","70.5"
"OPP Essex County Detachment","2012-2013",3,NA,NA,2,NA,NA,NA,1,NA,2013,"Essex","20,032","19,600","70.5"
"OPP Essex County Detachment","2011-2012",0,NA,NA,NA,NA,NA,NA,NA,NA,2012,"Essex","20,032","19,600","70.5"
"OPP Essex County Detachment","2010-2011",0,NA,NA,NA,NA,NA,NA,NA,NA,2011,"Essex","20,032","19,600","70.5"
"OPP Essex County Detachment","2009-2010",0,NA,NA,NA,NA,NA,NA,NA,NA,2010,"Essex","20,032","19,600","70.5"
"OPP Essex County Detachment","2008-2009",0,NA,NA,NA,NA,NA,NA,NA,NA,2009,"Essex","20,032","19,600","70.5"
"OPP Essex County Detachment","2007-2008",0,NA,NA,NA,NA,NA,NA,NA,NA,2008,"Essex","20,032","19,600","70.5"
"OPP Essex County Detachment","2006-2007",0,NA,NA,NA,NA,NA,NA,NA,NA,2007,"Essex","20,032","19,600","70.5"
"OPP Essex County Detachment","2005-2006",0,NA,NA,NA,NA,NA,NA,NA,NA,2006,"Essex","20,032","19,600","70.5"
"OPP Essex CPO Office","2013-2014",0,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Essex","20,032","19,600","70.5"
"OPP Essex CPO Office","2012-2013",0,NA,NA,NA,NA,NA,NA,NA,NA,2013,"Essex","20,032","19,600","70.5"
"OPP Essex CPO Office","2011-2012",0,NA,NA,NA,NA,NA,NA,NA,NA,2012,"Essex","20,032","19,600","70.5"
"OPP Essex CPO Office","2010-2011",0,NA,NA,NA,NA,NA,NA,NA,NA,2011,"Essex","20,032","19,600","70.5"
"OPP Essex CPO Office","2009-2010",0,NA,NA,NA,NA,NA,NA,NA,NA,2010,"Essex","20,032","19,600","70.5"
"OPP Essex CPO Office","2008-2009",0,NA,NA,NA,NA,NA,NA,NA,NA,2009,"Essex","20,032","19,600","70.5"
"OPP Essex CPO Office","2007-2008",0,NA,NA,NA,NA,NA,NA,NA,NA,2008,"Essex","20,032","19,600","70.5"
"OPP Essex CPO Office","2006-2007",0,NA,NA,NA,NA,NA,NA,NA,NA,2007,"Essex","20,032","19,600","70.5"
"OPP Essex CPO Office","2005-2006",0,NA,NA,NA,NA,NA,NA,NA,NA,2006,"Essex","20,032","19,600","70.5"
"OPP Essex Detachment","2013-2014",0,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Essex","20,032","19,600","70.5"
"OPP Essex Detachment","2012-2013",1,NA,NA,1,NA,NA,NA,NA,NA,2013,"Essex","20,032","19,600","70.5"
"OPP Essex Detachment","2011-2012",0,NA,NA,NA,NA,NA,NA,NA,NA,2012,"Essex","20,032","19,600","70.5"
"OPP Essex Detachment","2010-2011",1,NA,NA,1,NA,NA,NA,NA,NA,2011,"Essex","20,032","19,600","70.5"
"OPP Essex Detachment","2009-2010",1,NA,NA,1,NA,NA,NA,NA,NA,2010,"Essex","20,032","19,600","70.5"
"OPP Essex Detachment","2008-2009",1,NA,NA,NA,NA,1,NA,NA,NA,2009,"Essex","20,032","19,600","70.5"
"OPP Essex Detachment","2007-2008",1,NA,NA,1,NA,NA,NA,NA,NA,2008,"Essex","20,032","19,600","70.5"
"OPP Essex Detachment","2006-2007",0,NA,NA,NA,NA,NA,NA,NA,NA,2007,"Essex","20,032","19,600","70.5"
"OPP Essex Detachment","2005-2006",1,NA,NA,NA,NA,1,NA,NA,NA,2006,"Essex","20,032","19,600","70.5"
"OPP Exeter Detachment","2013-2014",0,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Exeter",NA,"4,785","897.4"
"OPP Exeter Detachment","2012-2013",0,NA,NA,NA,NA,NA,NA,NA,NA,2013,"Exeter",NA,"4,785","897.4"
"OPP Exeter Detachment","2011-2012",0,NA,NA,NA,NA,NA,NA,NA,NA,2012,"Exeter",NA,"4,785","897.4"
"OPP Exeter Detachment","2010-2011",0,NA,NA,NA,NA,NA,NA,NA,NA,2011,"Exeter",NA,"4,785","897.4"
"OPP Exeter Detachment","2009-2010",0,NA,NA,NA,NA,NA,NA,NA,NA,2010,"Exeter",NA,"4,785","897.4"
"OPP Exeter Detachment","2008-2009",0,NA,NA,NA,NA,NA,NA,NA,NA,2009,"Exeter",NA,"4,785","897.4"
"OPP Exeter Detachment","2007-2008",0,NA,NA,NA,NA,NA,NA,NA,NA,2008,"Exeter",NA,"4,785","897.4"
"OPP Exeter Detachment","2006-2007",0,NA,NA,NA,NA,NA,NA,NA,NA,2007,"Exeter",NA,"4,785","897.4"
"OPP Exeter Detachment","2005-2006",0,NA,NA,NA,NA,NA,NA,NA,NA,2006,"Exeter",NA,"4,785","897.4"
"OPP Foleyet Detachment","2013-2014",0,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Foleyet",NA,"193",""
"OPP Foleyet Detachment","2012-2013",0,NA,NA,NA,NA,NA,NA,NA,NA,2013,"Foleyet",NA,"193",""
"OPP Foleyet Detachment","2011-2012",0,NA,NA,NA,NA,NA,NA,NA,NA,2012,"Foleyet",NA,"193",""
"OPP Foleyet Detachment","2010-2011",0,NA,NA,NA,NA,NA,NA,NA,NA,2011,"Foleyet",NA,"193",""
"OPP Foleyet Detachment","2009-2010",0,NA,NA,NA,NA,NA,NA,NA,NA,2010,"Foleyet",NA,"193",""
"OPP Foleyet Detachment","2008-2009",0,NA,NA,NA,NA,NA,NA,NA,NA,2009,"Foleyet",NA,"193",""
"OPP Foleyet Detachment","2007-2008",0,NA,NA,NA,NA,NA,NA,NA,NA,2008,"Foleyet",NA,"193",""
"OPP Foleyet Detachment","2006-2007",0,NA,NA,NA,NA,NA,NA,NA,NA,2007,"Foleyet",NA,"193",""
"OPP Foleyet Detachment","2005-2006",0,NA,NA,NA,NA,NA,NA,NA,NA,2006,"Foleyet",NA,"193",""
"OPP Frontenac Detachment","2013-2014",1,NA,1,NA,NA,NA,NA,NA,NA,2014,"Frontenac County",NA,"26,375","7.9"
"OPP Frontenac Detachment","2012-2013",0,NA,NA,NA,NA,NA,NA,NA,NA,2013,"Frontenac County",NA,"26,375","7.9"
"OPP Frontenac Detachment","2011-2012",0,NA,NA,NA,NA,NA,NA,NA,NA,2012,"Frontenac County",NA,"26,375","7.9"
"OPP Frontenac Detachment","2010-2011",0,NA,NA,NA,NA,NA,NA,NA,NA,2011,"Frontenac County",NA,"26,375","7.9"
"OPP Frontenac Detachment","2009-2010",0,NA,NA,NA,NA,NA,NA,NA,NA,2010,"Frontenac County",NA,"26,375","7.9"
"OPP Frontenac Detachment","2008-2009",0,NA,NA,NA,NA,NA,NA,NA,NA,2009,"Frontenac County",NA,"26,375","7.9"
"OPP Frontenac Detachment","2007-2008",0,NA,NA,NA,NA,NA,NA,NA,NA,2008,"Frontenac County",NA,"26,375","7.9"
"OPP Frontenac Detachment","2006-2007",0,NA,NA,NA,NA,NA,NA,NA,NA,2007,"Frontenac County",NA,"26,375","7.9"
"OPP Frontenac Detachment","2005-2006",2,NA,NA,1,1,NA,NA,NA,NA,2006,"Frontenac County",NA,"26,375","7.9"
"OPP General Headquarters","2013-2014",1,NA,NA,1,NA,NA,NA,NA,NA,2014,NA,NA,NA,NA
"OPP General Headquarters","2012-2013",0,NA,NA,NA,NA,NA,NA,NA,NA,2013,NA,NA,NA,NA
"OPP General Headquarters","2011-2012",0,NA,NA,NA,NA,NA,NA,NA,NA,2012,NA,NA,NA,NA
"OPP General Headquarters","2010-2011",0,NA,NA,NA,NA,NA,NA,NA,NA,2011,NA,NA,NA,NA
"OPP General Headquarters","2009-2010",0,NA,NA,NA,NA,NA,NA,NA,NA,2010,NA,NA,NA,NA
"OPP General Headquarters","2008-2009",0,NA,NA,NA,NA,NA,NA,NA,NA,2009,NA,NA,NA,NA
"OPP General Headquarters","2007-2008",0,NA,NA,NA,NA,NA,NA,NA,NA,2008,NA,NA,NA,NA
"OPP General Headquarters","2006-2007",0,NA,NA,NA,NA,NA,NA,NA,NA,2007,NA,NA,NA,NA
"OPP General Headquarters","2005-2006",0,NA,NA,NA,NA,NA,NA,NA,NA,2006,NA,NA,NA,NA
"OPP Gogama Detachment","2013-2014",0,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Gogama",NA,NA,NA
"OPP Gogama Detachment","2012-2013",0,NA,NA,NA,NA,NA,NA,NA,NA,2013,"Gogama",NA,NA,NA
"OPP Gogama Detachment","2011-2012",0,NA,NA,NA,NA,NA,NA,NA,NA,2012,"Gogama",NA,NA,NA
"OPP Gogama Detachment","2010-2011",0,NA,NA,NA,NA,NA,NA,NA,NA,2011,"Gogama",NA,NA,NA
"OPP Gogama Detachment","2009-2010",0,NA,NA,NA,NA,NA,NA,NA,NA,2010,"Gogama",NA,NA,NA
"OPP Gogama Detachment","2008-2009",0,NA,NA,NA,NA,NA,NA,NA,NA,2009,"Gogama",NA,NA,NA
"OPP Gogama Detachment","2007-2008",0,NA,NA,NA,NA,NA,NA,NA,NA,2008,"Gogama",NA,NA,NA
"OPP Gogama Detachment","2006-2007",0,NA,NA,NA,NA,NA,NA,NA,NA,2007,"Gogama",NA,NA,NA
"OPP Gogama Detachment","2005-2006",0,NA,NA,NA,NA,NA,NA,NA,NA,2006,"Gogama",NA,NA,NA
"OPP Gore Bay Detachment","2013-2014",0,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Gore Bay","924","850","161.4"
"OPP Gore Bay Detachment","2012-2013",0,NA,NA,NA,NA,NA,NA,NA,NA,2013,"Gore Bay","924","850","161.4"
"OPP Gore Bay Detachment","2011-2012",0,NA,NA,NA,NA,NA,NA,NA,NA,2012,"Gore Bay","924","850","161.4"
"OPP Gore Bay Detachment","2010-2011",0,NA,NA,NA,NA,NA,NA,NA,NA,2011,"Gore Bay","924","850","161.4"
"OPP Gore Bay Detachment","2009-2010",0,NA,NA,NA,NA,NA,NA,NA,NA,2010,"Gore Bay","924","850","161.4"
"OPP Gore Bay Detachment","2008-2009",0,NA,NA,NA,NA,NA,NA,NA,NA,2009,"Gore Bay","924","850","161.4"
"OPP Gore Bay Detachment","2007-2008",0,NA,NA,NA,NA,NA,NA,NA,NA,2008,"Gore Bay","924","850","161.4"
"OPP Gore Bay Detachment","2006-2007",0,NA,NA,NA,NA,NA,NA,NA,NA,2007,"Gore Bay","924","850","161.4"
"OPP Gore Bay Detachment","2005-2006",0,NA,NA,NA,NA,NA,NA,NA,NA,2006,"Gore Bay","924","850","161.4"
"OPP Greenstone Detachment","2013-2014",0,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Greenstone",NA,"4,724","1.7"
"OPP Greenstone Detachment","2012-2013",0,NA,NA,NA,NA,NA,NA,NA,NA,2013,"Greenstone",NA,"4,724","1.7"
"OPP Greenstone Detachment","2011-2012",2,NA,NA,2,NA,NA,NA,NA,NA,2012,"Greenstone",NA,"4,724","1.7"
"OPP Greenstone Detachment","2010-2011",1,NA,NA,1,NA,NA,NA,NA,NA,2011,"Greenstone",NA,"4,724","1.7"
"OPP Greenstone Detachment","2009-2010",0,NA,NA,NA,NA,NA,NA,NA,NA,2010,"Greenstone",NA,"4,724","1.7"
"OPP Greenstone Detachment","2008-2009",0,NA,NA,NA,NA,NA,NA,NA,NA,2009,"Greenstone",NA,"4,724","1.7"
"OPP Greenstone Detachment","2007-2008",0,NA,NA,NA,NA,NA,NA,NA,NA,2008,"Greenstone",NA,"4,724","1.7"
"OPP Greenstone Detachment","2006-2007",0,NA,NA,NA,NA,NA,NA,NA,NA,2007,"Greenstone",NA,"4,724","1.7"
"OPP Greenstone Detachment","2005-2006",0,NA,NA,NA,NA,NA,NA,NA,NA,2006,"Greenstone",NA,"4,724","1.7"
"OPP Grenville County Detachment (Kemptville)","2013-2014",0,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Kemptville",NA,"3,532","1,099.5"
"OPP Grenville County Detachment (Kemptville)","2012-2013",0,NA,NA,NA,NA,NA,NA,NA,NA,2013,"Kemptville",NA,"3,532","1,099.5"
"OPP Grenville County Detachment (Kemptville)","2011-2012",0,NA,NA,NA,NA,NA,NA,NA,NA,2012,"Kemptville",NA,"3,532","1,099.5"
